품목,시도,시군구,k2,적정온도,경고임계,위험임계,결실개시년,경제수명년,현재재배면적_ha,현재단수_kg_ha,현재단가_원kg,시나리오,중심연도,생육기기온,편차,판정,저온요구도
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp585,2068,24.63,4.93,위험,660
밤,경남,함양군,함양,19.7,1.3,2.0,5,30,275.0,3567.0,1994.0,ssp585,2078,25.46,5.76,위험,568
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,관측,2005,19.74,0.04,경고,1117
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp245,2028,21.82,2.12,위험,922
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp245,2038,22.36,2.66,위험,872
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp245,2048,22.87,3.17,위험,823
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp245,2058,23.36,3.66,위험,780
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp245,2068,23.73,4.03,위험,744
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp245,2078,24.16,4.46,위험,691
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp585,2028,21.99,2.29,위험,928
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp585,2038,22.75,3.05,위험,843
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp585,2048,23.56,3.86,위험,746
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp585,2058,24.47,4.77,위험,658
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp585,2068,25.44,5.74,위험,549
밤,전남,장성군,장성,19.7,1.3,2.0,5,30,8.6,93.0,3602.0,ssp585,2078,26.37,6.67,위험,464
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,관측,2005,20.3,0.6,경고,1156
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp245,2028,22.19,2.49,위험,955
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp245,2038,22.71,3.01,위험,902
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp245,2048,23.18,3.48,위험,858
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp245,2058,23.64,3.94,위험,818
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp245,2068,23.98,4.28,위험,785
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp245,2078,24.38,4.68,위험,734
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp585,2028,22.41,2.71,위험,959
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp585,2038,23.11,3.41,위험,875
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp585,2048,23.88,4.18,위험,784
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp585,2058,24.73,5.03,위험,698
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp585,2068,25.61,5.91,위험,580
밤,전남,구례군,구례,19.7,1.3,2.0,5,30,390.5,2206.0,2198.0,ssp585,2078,26.46,6.76,위험,497
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,관측,2005,19.93,0.23,경고,1177
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp245,2028,21.89,2.19,위험,983
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp245,2038,22.43,2.73,위험,930
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp245,2048,22.91,3.21,위험,885
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp245,2058,23.39,3.69,위험,845
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp245,2068,23.74,4.04,위험,812
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp245,2078,24.15,4.45,위험,759
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp585,2028,22.12,2.42,위험,969
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp585,2038,22.84,3.14,위험,886
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp585,2048,23.64,3.94,위험,792
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp585,2058,24.5,4.8,위험,706
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp585,2068,25.4,5.7,위험,586
밤,전남,곡성군,곡성,19.7,1.3,2.0,5,30,20.8,4841.0,2215.0,ssp585,2078,26.26,6.56,위험,509
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,관측,2005,20.04,0.34,경고,1199
